"sex","tv","computer","sleep","height","momheight","dadheight","exercise","gpa"
"Female",13.0,10.0,3.50,66.0,66.0,71.0,10.0,4.000
"Male",20.0,7.0,9.00,72.0,64.0,65.0,2.0,2.300
"Male",15.0,15.0,6.00,68.0,62.0,74.0,3.0,2.600
"Male",8.0,20.0,6.00,68.0,59.0,70.0,6.0,2.800
"Female",2.5,10.0,5.00,64.0,65.0,70.0,6.5,2.620
"Male",2.0,14.0,9.00,68.5,60.0,68.0,2.0,2.200
"Female",4.0,28.0,8.50,69.0,66.0,76.0,3.0,3.780
"Female",8.0,10.0,7.00,66.0,63.0,70.0,4.5,3.200
"Male",1.0,15.0,8.00,70.0,68.0,71.0,3.0,3.310
"Male",8.0,25.0,4.50,67.0,63.0,66.0,6.0,3.390
"Male",3.5,9.0,8.00,68.0,62.0,64.0,8.0,3.000
"Female",11.0,20.0,5.00,68.0,64.0,69.0,0.0,2.500
"Male",10.0,14.0,8.00,68.0,61.0,72.0,10.0,2.800
"Male",1.0,84.0,5.00,61.0,62.0,62.0,3.0,2.340
"Female",10.0,11.0,9.00,65.0,62.0,66.0,5.0,2.000
"Female",10.0,1.0,9.00,64.0,70.0,73.0,4.0,2.400
"Female",1.0,5.0,6.50,65.0,70.0,75.0,3.0,1.050
"Male",2.0,6.0,5.00,71.0,62.0,69.0,20.0,3.250
"Male",40.0,4.0,4.00,68.0,54.0,68.0,4.5,3.500
"Male",10.0,10.0,8.50,77.0,64.0,74.0,10.0,2.200
"Female",30.0,30.0,9.50,68.0,68.0,69.0,1.0,2.500
"Male",1.5,8.0,8.50,67.0,64.0,66.0,5.0,3.500
"Male",10.0,12.0,9.00,75.0,68.0,73.0,7.0,3.000
"Male",15.0,5.0,6.00,72.0,67.0,71.0,6.0,3.600
"Male",4.0,5.0,6.50,68.0,66.0,68.0,9.0,3.160
"Male",6.0,6.0,5.00,72.0,62.0,70.0,10.0,2.400
"Female",100.0,2.0,7.00,66.0,60.0,77.0,3.0,2.650
"Female",15.0,40.0,5.00,60.0,59.0,62.0,10.0,2.600
"Female",1.0,14.0,6.00,60.0,62.0,63.0,2.0,0.548
"Male",3.5,22.5,7.00,66.0,60.0,64.0,3.0,3.400
"Male",10.0,20.0,8.00,75.0,64.0,67.0,5.0,4.000
"Male",1.0,10.0,6.50,73.0,60.0,67.0,8.0,3.000
"Female",1.0,3.0,7.00,64.0,60.0,72.0,3.0,3.500
"Female",6.0,3.0,7.00,70.0,62.0,74.0,10.0,3.280
"Female",1.5,5.5,5.50,64.0,61.0,70.0,1.5,3.200
"Female",4.0,1.0,7.50,63.0,61.0,70.0,4.0,2.810
"Female",10.0,5.0,9.00,61.0,60.0,67.0,3.0,2.870
"Female",18.0,14.0,7.00,69.0,65.0,68.0,5.0,3.190
"Male",20.0,15.0,6.50,73.0,67.0,73.0,4.0,1.980
"Female",4.0,6.0,6.00,63.0,64.0,65.0,4.0,1.900
"Male",20.0,25.0,9.00,70.0,60.0,64.0,5.0,2.510
"Male",5.0,20.0,4.00,70.0,64.0,68.0,2.0,3.200
"Male",0.0,30.0,3.50,69.0,63.0,65.0,6.0,3.040
"Male",11.0,17.0,4.50,76.0,66.0,72.0,4.0,2.500
"Female",0.0,30.0,8.50,66.0,66.0,66.0,2.0,2.000
"Female",1.0,8.5,7.00,65.0,64.0,70.0,4.0,2.600
"Female",2.0,10.0,11.00,64.0,62.0,68.0,2.0,3.060
"Female",8.0,7.0,8.00,66.0,64.0,73.0,6.0,2.800
"Female",1.0,5.0,4.00,65.0,61.0,67.0,3.0,3.000
"Female",3.0,8.0,7.00,63.0,60.0,67.0,2.0,3.300
"Female",6.0,3.0,4.50,63.0,64.0,74.0,5.5,3.200
"Female",10.0,7.0,4.00,65.0,62.0,75.0,2.0,3.500
"Female",15.0,25.0,7.00,66.0,64.0,70.0,5.0,3.000
"Female",15.0,6.0,9.50,67.0,64.0,70.0,2.0,2.500
"Male",12.0,12.0,5.00,69.0,60.0,67.0,6.0,2.400
"Female",4.0,17.5,9.00,62.0,60.0,60.0,2.0,2.140
"Male",15.0,30.0,8.00,68.0,65.0,66.0,10.0,3.000
"Female",21.0,3.0,8.00,64.0,63.0,74.0,10.0,3.730
"Female",4.0,10.0,8.50,63.0,62.0,68.0,2.0,3.000
"Female",4.0,21.0,6.50,64.0,62.0,69.0,3.0,2.230
"Female",8.0,20.0,5.00,63.0,58.0,74.0,2.0,2.300
"Male",2.0,7.0,7.50,69.0,65.0,68.0,6.0,2.580
"Male",4.0,10.0,8.00,73.0,67.0,72.0,6.0,3.500
"Male",10.0,5.0,2.00,66.0,60.0,65.0,1.0,2.660
"Female",2.0,10.0,5.25,62.5,65.0,71.5,8.0,3.000
"Female",9.0,12.5,7.50,65.0,64.0,72.0,4.5,3.250
"Male",14.0,28.0,9.00,67.0,60.0,67.0,1.5,3.160
"Male",2.0,7.5,7.50,68.0,61.0,65.0,21.5,3.000
"Female",3.5,21.0,6.50,69.5,66.0,72.0,3.5,3.300
"Male",0.0,10.0,12.00,71.0,64.0,72.0,2.0,1.850
"Female",10.0,20.0,6.00,63.5,60.0,67.0,1.0,2.750
"Female",5.5,20.0,10.00,69.0,64.0,74.0,4.0,3.120
"Male",14.0,14.0,5.00,70.5,62.0,74.8,1.5,3.240
"Male",0.0,1.0,6.50,70.0,63.0,70.0,0.0,2.970
"Male",21.0,21.0,6.50,66.0,64.0,64.0,1.0,3.000
"Male",14.0,20.0,7.00,65.0,66.0,55.0,2.0,3.000
"Female",11.0,7.0,7.00,67.0,63.0,72.0,5.0,3.010
"Female",8.0,10.0,8.00,67.0,66.0,70.0,2.0,3.100
"Male",2.0,30.0,7.00,70.0,64.0,70.0,4.0,3.400
"Female",1.5,20.0,8.00,67.0,69.0,66.0,0.0,4.000
"Male",14.0,10.0,7.00,65.0,64.0,65.0,3.0,2.800
"Male",2.0,10.0,8.00,70.0,67.0,71.0,7.0,3.370
"Male",20.0,0.0,8.00,72.0,66.0,74.0,3.0,3.500
"Male",1.0,20.0,8.00,70.0,57.0,68.0,0.0,2.400
"Male",14.0,2.0,9.00,70.0,69.3,69.0,3.0,2.000
"Female",10.0,5.0,8.00,67.0,65.0,68.0,2.5,3.500
"Male",15.0,10.0,6.00,71.0,66.0,69.0,1.0,2.700
"Female",2.0,4.0,6.50,67.0,63.0,71.0,30.0,3.000
"Female",10.0,50.0,7.00,63.0,60.0,69.0,7.0,2.500
"Female",6.0,5.0,8.50,63.0,61.0,67.0,1.0,2.170
"Female",20.0,8.0,7.00,60.0,60.0,66.0,0.0,3.100
"Male",20.0,30.0,6.00,64.0,60.0,65.0,10.0,2.500
"Male",35.0,40.0,10.00,63.0,65.0,64.0,2.0,3.430
"Male",15.0,15.0,6.00,66.0,61.0,61.0,2.0,3.600
"Male",5.0,40.0,10.00,71.0,63.0,70.0,2.5,2.910
"Female",35.0,21.0,10.50,63.0,68.0,75.0,2.5,2.830
"Female",1.0,2.0,8.00,65.5,62.0,71.0,4.5,3.220
"Female",4.0,9.0,7.00,66.0,63.0,72.0,6.0,3.800
"Male",0.0,14.0,7.50,72.0,67.0,74.0,4.0,2.100
"Female",5.0,5.0,8.50,68.0,67.0,70.0,0.5,2.870
"Female",5.0,5.0,7.00,65.0,62.0,67.0,2.0,3.910
"Female",0.5,3.0,4.00,65.0,63.5,69.0,1.5,4.000
"Female",1.0,2.0,7.00,66.0,67.0,70.0,2.5,2.500
"Female",15.0,10.0,8.00,66.0,65.0,68.0,2.0,3.500
"Female",5.0,6.0,7.00,67.0,64.0,71.0,5.0,3.420
"Female",8.0,8.0,6.00,63.0,61.0,70.0,4.0,3.300
"Male",1.0,37.0,7.00,69.0,64.0,71.0,1.0,3.600
"Female",10.0,14.0,10.00,66.0,60.0,69.0,10.0,2.260
"Male",2.0,28.0,7.00,70.0,60.0,78.0,2.0,3.180
"Female",1.0,7.0,6.00,61.0,63.0,69.0,7.0,3.200
"Female",1.0,13.5,3.00,62.0,60.0,68.0,3.0,3.900
"Male",2.0,4.0,6.00,65.0,61.0,63.0,11.0,2.000
"Female",1.0,6.0,5.00,63.5,62.0,63.0,3.0,2.000
"Female",4.0,10.0,4.50,61.0,62.0,65.0,0.0,2.660
"Female",3.0,20.0,7.00,64.0,61.0,63.0,2.0,3.880
"Male",8.0,35.0,8.00,57.0,61.0,66.0,25.0,2.500
"Male",1.0,17.5,5.00,69.0,62.0,72.0,3.0,3.150
"Female",3.0,5.0,9.00,61.0,65.0,69.0,7.0,2.700
"Male",12.0,25.0,6.00,76.0,64.0,72.0,1.5,3.170
"Male",0.5,10.0,5.50,69.0,62.0,68.0,6.5,3.300
"Male",9.0,2.0,7.00,77.0,71.0,76.0,15.0,2.340
"Male",25.0,25.0,9.00,75.0,63.0,77.0,3.0,2.400
"Female",2.0,6.0,8.00,61.0,64.0,68.0,1.0,3.000
"Female",3.0,35.0,8.00,63.0,61.0,72.0,0.0,2.810
"Female",1.0,35.0,8.00,62.0,62.0,72.0,2.0,2.820
"Female",3.5,9.0,6.50,64.0,64.0,74.0,5.5,3.880
"Female",30.0,24.0,6.00,64.0,62.0,68.0,2.0,2.190
"Male",20.0,7.0,7.00,72.0,67.0,73.0,5.0,2.290
"Female",3.0,5.0,10.00,65.0,66.0,73.0,1.0,3.620
"Female",2.0,5.0,8.00,64.0,61.0,67.0,3.0,3.100
"Female",15.0,10.0,9.00,59.0,60.0,64.0,2.0,2.800
"Female",16.0,21.0,7.00,65.0,67.0,68.0,2.0,2.740
"Female",5.0,10.0,8.00,63.0,65.0,68.0,4.5,2.990
"Male",8.0,4.0,6.00,71.0,66.0,70.0,8.0,3.000
"Female",10.0,15.0,4.50,64.5,62.0,66.5,1.0,2.700
"Female",2.0,25.0,8.00,64.0,63.0,71.0,2.0,3.100
"Male",8.0,1.5,6.00,72.0,63.0,74.0,10.0,3.400
"Male",10.0,2.0,5.50,68.0,63.0,68.0,8.0,2.400
"Male",10.0,25.0,7.00,69.0,64.0,67.0,2.0,2.760
"Female",6.0,12.0,9.50,70.0,62.0,76.0,0.0,3.000
"Female",3.5,2.0,8.00,60.0,61.0,65.0,2.5,3.860
"Male",3.0,20.0,5.50,66.0,62.0,70.0,2.0,2.100
"Female",1.0,12.0,8.00,62.0,63.0,68.0,2.0,3.450
"Female",5.0,35.0,5.00,65.0,69.0,72.0,5.0,2.180
"Male",8.0,32.0,6.00,72.0,65.0,71.0,1.5,2.800
"Male",9.0,7.0,7.00,75.0,68.0,74.0,7.0,3.500
"Male",1.0,10.0,5.00,72.0,60.0,74.0,3.0,4.000
"Female",5.0,2.0,6.00,64.0,62.0,66.0,6.0,4.000
